"id";"event_timestamp";"course_over_ground";"machine_id";"vehicle_weight_type";"speed_gps_kph";"latitude";"longitude"
14683261076;2015-11-17 00:32:04;181;33932;"NA";70;-36.820045;174.750077
14683193115;2015-11-17 00:29:47;212;33932;"NA";46;-36.799151;174.761949
14662068721;2015-11-16 04:57:57;344;33932;"NA";71;-36.82104;174.749917
14683261060;2015-11-17 00:31:36;195;33932;"NA";67;-36.81543;174.751166
14662059300;2015-11-16 04:57:04;29;33932;"NA";55;-36.828857;174.746812
14662077808;2015-11-16 04:58:07;2;33932;"NA";65;-36.819402;174.749653
14662077816;2015-11-16 04:58:36;26;33932;"NA";59;-36.814958;174.751031
14683193128;2015-11-17 00:30:03;192;33932;"NA";66;-36.801391;174.761592
14683239081;2015-11-17 00:31:23;214;33932;"NA";74;-36.813403;174.752499
14662077812;2015-11-16 04:58:21;13;33932;"NA";64;-36.817162;174.750188
14662059303;2015-11-16 04:57:20;28;33932;"NA";61;-36.826783;174.748145
14683284010;2015-11-17 00:32:17;173;33932;"NA";66;-36.822312;174.750362
14683284017;2015-11-17 00:32:24;192;33932;"NA";60;-36.823402;174.750304
14683284024;2015-11-17 00:32:41;207;33932;"NA";48;-36.825472;174.749104
14683217150;2015-11-17 00:30:31;209;33932;"NA";70;-36.805855;174.759401
14683239046;2015-11-17 00:30:57;217;33932;"NA";73;-36.809564;174.75608
14662068709;2015-11-16 04:57:35;27;33932;"NA";65;-36.824686;174.749512
14683309095;2015-11-17 00:33:01;208;33932;"NA";43;-36.827468;174.747787
14662068716;2015-11-16 04:57:44;11;33932;"NA";68;-36.823298;174.750214
14665763869;2015-11-16 11:48:16;53;33932;"NA";36;-36.798671;174.762206
14683261065;2015-11-17 00:31:50;191;33932;"NA";66;-36.817695;174.750585
14665758610;2015-11-16 11:47:51;72;33932;"NA";41;-36.799964;174.759897
14683217153;2015-11-17 00:30:44;217;33932;"NA";69;-36.807712;174.757815
14683217148;2015-11-17 00:30:17;199;33932;"NA";67;-36.803673;174.760683
14683239061;2015-11-17 00:31:10;217;33932;"NA";74;-36.811465;174.754281
14662088160;2015-11-16 04:58:42;13;33932;"NA";57;-36.814171;174.751467
