dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1447462800,2015-11-14 01:00:00 +0000 UTC,2193733,,,,291.15,291.15,291.15,1020,,,52,6,250,,,,,,,,,76,803,Clouds,broken clouds,04d
,2015-11-14 02:00:00 +0000 UTC,,,,,291.15,,,,,,,,,,,,,,,,,,,Clouds,broken clouds,
1447470000,2015-11-14 03:00:00 +0000 UTC,2193733,,,,291.15,291.15,291.15,1018,,,45,7,240,,,,,,,,,76,803,Clouds,broken clouds,04d
,2015-11-14 04:00:00 +0000 UTC,,,,,290.75,,,,,,,,,,,,,,,,,,,Clouds,broken clouds,
1447477200,2015-11-14 05:00:00 +0000 UTC,2193733,,,,290.15,290.15,290.15,1017,,,48,6,270,,,,,,,,,88,804,Clouds,overcast clouds,04d
1447480800,2015-11-14 06:00:00 +0000 UTC,2193733,,,,289.15,289.15,289.15,1017,,,55,4,250,,,,,,,,,88,804,Clouds,overcast clouds,04d
,2015-11-14 07:00:00 +0000 UTC,,,,,288.15,,,,,,,,,,,,,,,,,,,Clouds,overcast clouds,
1447488000,2015-11-14 08:00:00 +0000 UTC,2193733,,,,287.15,287.15,287.15,1017,,,58,2,310,,,,,,,,,88,804,Clouds,overcast clouds,04n
,2015-11-14 09:00:00 +0000 UTC,,,,,286.75,,,,,,,,,,,,,,,,,,,Clouds,overcast clouds,
1447491600,2015-11-14 10:00:00 +0000 UTC,2193733,,,,286.15,286.15,286.15,1017,,,62,2,310,,,,,,,,,88,804,Clouds,overcast clouds,04n
1447498800,2015-11-14 11:00:00 +0000 UTC,2193733,,,,286.15,286.15,286.15,1016,,,71,2,10,,,,,,,,,36,802,Clouds,scattered clouds,03n
,2015-11-14 12:00:00 +0000 UTC,,,,,286.15,,,,,,,,,,,,,,,,,,,Clouds,scattered clouds,
1447506000,2015-11-14 13:00:00 +0000 UTC,2193733,,,,286.15,286.15,286.15,1015,,,76,2,350,,,,,,,,,88,804,Clouds,overcast clouds,04n
,2015-11-14 14:00:00 +0000 UTC,,,,,286.75,,,,,,,,,,,,,,,,,,,Clouds,overcast clouds,
